Year,USA
1949,13503
1950,14307
1951,33059
1952,47598
1953,49377
1954,42786
1955,40371
1956,41513
1957,44159
1958,45096
1959,45833
1960,45380
1961,47808
1962,52381
1963,52295
1964,51213
1965,51827
1966,63572
1967,75448
1968,80732
1969,81443
1970,79846
1971,74862
1972,77639
1973,78358
1974,85906
1975,88400
1976,91013
1977,100925
1978,109247
1979,122279
1980,138191
1981,169888
1982,213626
1983,213626
1984,231459
1985,258165
1986,281105
1987,288157
1988,293093
1989,304085
1990,306170
1991,280292
1992,305141
1993,297637
1994,288059
1995,278856
1996,271417
1997,276325
1998,274278
1999,280969
2000,301697
2001,312743
2002,356720
2003,415223
2004,464676
2005,503353
2006,527660
2007,556961
2008,621131
2009,668567
2010,698180
2011,711338
2012,684780
2013,639704
2014,609914
2015,596104.6
2016,600106.4
2017,609758